Programme,Deadline
MA in Anthropology,"1st round: 30 September 2023
2nd round: 31 October 2023
3rd round: 30 November 2023
4th round: 31 December 2023
5th round: 31 January 2024
Applications will be processed on a rolling basis from October 2023 until all places have been filled. Therefore, early applications are strongly encouraged. Applications submitted after 31 December 2023 may be considered, subject to availability of places."
MA in Chinese Studies,"Main round: 29 December 2023
2nd round: 30 April 2024
Applications will be processed on a rolling basis starting from October 2023 until all places have been filled. Therefore, early applications are strongly encouraged. If places are no longer available after the Main Round, the subsequent applications received may not be considered."
MA in Chinese Language and Literature,"1st round: 15 November 2023
2nd round: 15 December 2023
3rd round: 31 January 2024
4th round: 29 February 2024"
MA in Cultural Management,"28 February 2024
Applications will be processed on a rolling basis until all places have been filled. Therefore, early applications are strongly encouraged. Applications submitted after 31 January 2024 may be considered, subject to availability of places.
28 February 2024
Applications will be processed on a rolling basis until all places have been filled. Therefore, early applications are strongly encouraged. Applications submitted after 31 January 2024 may be considered, subject to availability of places."
MA in English (Applied English Linguistics),"1st round: 19 November 2023
2nd round: 31 December 2023
1st round: 19 November 2023
2nd round: 31 December 2023"
MA in Fine Arts,"1st round: 31 December 2023
2nd round: 31 January 2024
3rd round: 29 February 2024
Clearing Round: 31 March 2024
Applications will be processed on a rolling basis until all places have been filled. Therefore, early applications are strongly encouraged. Applications in Clearing Round will only be considered subject to availability of places."
MA in Comparative and Public History,"Main Round: 31 January 2024
2nd Round: 29 February 2024
Applications will be processed on a rolling basis staring from November 2023 until all places have been filled. Therefore, early applications are strongly encouraged. If places are no longer available after the Main Round, the subsequent applications received may not be considered."
MA in Japanese Studies,"Priority Round: 1 December 2023
Final Round: 31 March 2024
Applications will be processed on a rolling basis until all places have been filled. Therefore, early applications are strongly encouraged.
Applications submitted after 31 March 2024 may be considered, subject to availability of places."
MA in Chinese Linguistics and Language Acquisition,"29 February 2024
Applications will be processed on a rolling basis until all places have been filled. Therefore, early applications are strongly encouraged.
29 February 2024
Applications will be processed on a rolling basis until all places have been filled. Therefore, early applications are strongly encouraged."
MA in Music,"1st Round: 8 December 2023
2nd Round: 29 February 2024
Applications will be processed on a rolling basis until all places have been filled. Therefore, early applications are strongly recommended."
MA in Philosophy,29 February 2024
MA in Buddhist Studies,"Priority round: 29 February 2024Final round: 14 April 2024
Priority round: 29 February 2024
Final round: 14 April 2024
Applications will be processed on a rolling basis until all places have been filled. Therefore, early applications are strongly encouraged. If places are no longer available after the Priority Round, the subsequent applications received may not be considered."
MA in Christian Studies,"25 March 2024
25 March 2024"
MA in Translation,"Priority round: 15 January 2024
Final round: 29 February 2024
Applications are processed on a rolling basis until all places are filled. Therefore, early applications are strongly encouraged. If places are no longer available after the Priority Round, the subsequent applications received may not be considered."
