Programme,Deadline,Apply
Master of Architecture,"Full Time:  12:00 noon (GMT +8), January 2, 2024",Full Time
Master of Architecture (Design),"Full Time:  12:00 noon (GMT +8), January 2, 2024",Full Time
Master of Landscape Architecture,"12:00 noon (GMT +8), January 2, 2024",Full Time
Master of Science in Advanced Architectural Design (June 2024 commencement),"12:00 noon (GMT +8), January 15, 2024",Full Time
Master of Science in Conservation,"12:00 noon (GMT +8), January 2, 2024",Full Time
Master of Science in Construction Project Management,"12:00 noon (GMT +8), January 2, 2024",Full Time / Part Time
Master of Science in Digital Management of Built Assets,"12:00 noon (GMT +8), January 2, 2024",Full Time / Part Time
Master of Science in Real Estate,"12:00 noon (GMT +8), January 2, 2024",Full Time / Part Time
Master of Science in Sustainable Environmental Design,"12:00 noon (GMT +8), May 2, 2024",Full Time / Part Time
Master of Science in Urban Analytics,"12:00 noon (GMT +8), January 2, 2024",Full Time
Master of Science in Urban Design and Transport,"Full Time: 12:00 noon (GMT +8), January 2, 2024",Full Time
Master of Science in Urban Planning,"12:00 noon (GMT +8), January 2, 2024",Full Time
Master of Science in Urban Planning (For ADB-Japan Scholarship Programme applicants),"12:00 noon (GMT +8), January 31, 2024",Full Time
Master of Urban Design (for general applicants and JJ/WBGSP applicants),"12:00 noon (GMT +8), January 2, 2024",Full Time
Master of Urban Design (For ADB-Japan Scholarship Programme applicants),"12:00 noon (GMT +8), January 31, 2024",Full Time
Master of Urban Studies and Housing Management,"12:00 noon (GMT +8), January 2, 2024",Full Time / Part Time
Postgraduate Diploma in Landscape Architecture,"12:00 noon (GMT +8), January 2, 2024",Full Time
Master of Arts in Applied Linguistics,"Round 1 (Main): 12:00 noon (GMT +8), December 28, 2023 Round 2 (Clearing): 12:00 noon (GMT +8), February 21, 2024",Full Time / Part Time
"Master of Arts in the field of AI, Ethics and Society","Full Time: Round 1: 12:00 noon (GMT +8), December 28, 2023 Round 2: 12:00 noon (GMT +8), March 28, 2024  Part Time: 12:00 noon (GMT +8), March 28, 2024",Full Time / Part Time
Master of Arts in the field of Art History,"12:00 noon (GMT +8), April 19, 2024",Full Time
Master of Arts in the field of Chinese Historical Studies,"Round 1: 12:00 noon (GMT +8), January 31, 2024 Round 2: 12:00 noon (GMT +8), April 30, 2024",Full Time / Part Time
Master of Arts in the field of Chinese Language and Literature,"Round 1: 12:00 noon (GMT +8), January 31, 2024 Round 2: 12:00 noon (GMT +8), April 29, 2024",Full Time / Part Time
Master of Arts in the field of Creative Communications,"Round 1: 12:00 noon (GMT +8), December 29, 2023 Round 2: 12:00 noon (GMT +8), April 5, 2024",Full Time
Master of Arts in the field of English Studies,"Full Time: Round 1: 12:00 noon (GMT +8), December 5, 2023 Round 2: 12:00 noon (GMT +8), March 28, 2024 Part Time: Round 1: 12:00 noon (GMT +8), December 5, 2023 Round 2: 12:00 noon (GMT +8), March 28, 2024 Round 3: 12:00 noon (GMT +8), June 28, 2024",Full Time / Part Time
Master of Arts in the field of Hong Kong History,"12:00 noon (GMT +8), May 3, 2024",Full Time / Part Time
Master of Arts in the field of Linguistics,"12:00 noon (GMT +8), March 28, 2024",Full Time
Master of Arts in the field of Literary and Cultural Studies,"Round 1: 12:00 noon (GMT +8), January 5, 2024 Round 2: 12:00 noon (GMT +8), March 28, 2024",Full Time / Part Time
Master of Arts in the field of Museum Studies,"12:00 noon (GMT +8) May 16, 2024",Full Time
Master of Arts in the field of Music Studies,"12:00 noon (GMT +8), April 30, 2024",Full Time
"Master of Arts in the field of Philosophy, Politics and Economics","Round 1:  12:00 noon (GMT +8) January 31, 2024 Round 2:  12:00 noon (GMT +8) May 31, 2024",Full Time
Master of Arts in the field of Translation,"Round 1: 12:00 noon (GMT +8), January 31, 2024 Round 2: 12:00 noon (GMT +8), April 30, 2024",Full Time  / Part Time
Master of Buddhist Counselling,"12:00 noon (GMT +8), February 29, 2024",Full Time / Part Time
Master of Buddhist Studies,"Round 1: 12:00 noon (GMT +8), December 15, 2023 Round 2: 12:00 noon (GMT +8), February 29, 2024",Full Time / Part Time
Master of Fine Arts in the field of Creative Writing in English,"Round 1: 12:00 noon (GMT +8), December 29, 2023 Round 2: 12:00 noon (GMT +8), April 5, 2024",Full Time
Master of Accounting,"Round 1: 12:00 noon (GMT +8), October 13, 2023 Round 2: 12:00 noon (GMT +8), December 4, 2023 Round 3: 12:00 noon (GMT +8), January 24, 2024",Full Time
Master of Business Administration,"Round 1: 12:00 noon (GMT +8), December 28, 2023 Round 2: 12:00 noon (GMT +8), February 28, 2024",Full Time / Part Time
Master of Climate Governance and Risk Management,"12:00 noon (GMT +8), January 24, 2024",Full Time
