Code,Programme Title,Deadline
02006,China Business Studies - MSc - Master of Science 中國商貿管理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
02007,Business Administration - Doctor - Doctor 工商管理博士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
02021,Business Administration - Master - Master (of) 工商管理碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
02022,Business Management - MSc - Master of Science 商業管理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
02018,Management - Doctor - Doctor 管理學博士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
21046,Professional Accounting - Master/PgD - Master of/Postgraduate Diploma 專業會計碩士學位/深造文憑,"local: 30 Apr 2024, non-local: 30 Apr 2024"
21047,Corporate Governance - Master - Master (of) 公司管治碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
21049,Accountancy - MSc - Master of Science 會計學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
21050,Finance (Corporate Finance) - Master - Master (of) 金融學碩士學位（企業金融）,"local: 30 Apr 2024, non-local: 30 Apr 2024"
21050,Finance (Investment Management) - Master - Master (of) 金融學碩士學位（投資管理）,"local: 30 Apr 2024, non-local: 30 Apr 2024"
21052,Accounting and Finance Analytics - MSc - Master of Science 會計及金融分析理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
21054,ESG and Sustainability - MSc - Master of Science 環境、社會和治理及可持續性理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
44087,International Shipping and Transport Logistics - MSc/PgD - Master of Science/Postgraduate Diploma 國際航運及物流管理理學碩士學位/深造文憑,"local: 30 Apr 2024, non-local: 30 Apr 2024"
44087,International Shipping and Transport Logistics - MSc - Master of Science 國際航運及物流管理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
44089,Global Supply Chain Management - MSc/PgD - Master of Science/Postgraduate Diploma 全球供應鏈管理理學碩士學位/深造文憑,"local: 30 Apr 2024, non-local: 30 Apr 2024"
44092,Operations Management - MSc - Master of Science 營運管理學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
44094,Global Business and Decision Analysis - MSc - Master of Science 環球商業及決策分析理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
23090,Business Analytics - MSc - Master of Science 商務分析理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
23090,Human Resource Management - MSc - Master of Science 人力資源管理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
23090,Marketing Management - MSc - Master of Science 市場營銷管理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
34084,Geomatics - MSc - Master of Science 測繪及地理資訊學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
34083,Urban Informatics and Smart Cities - MSc - Master of Science 城市信息學及智慧城市理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
33082,Building Services Engineering - MEng - Master of Engineering 屋宇設備工程學工學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
33084,Building Services Engineering - MSc - Master of Science 屋宇設備工程學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
33085,Facility Management  - MSc - Master of Science 設施管理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
33086,Fire and Safety Engineering  - MSc - Master of Science 消防及安全工程學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
33087,High Performance Buildings  - MSc - Master of Science 高效能建築理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
33088,Carbon Neutral Cities and Urban Sustainability - MSc - Master of Science 碳中和城市及可持續性理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
31077,Civil Engineering - MSc - Master of Science 土木工程學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
31078,Environmental Management and Engineering - MSc - Master of Science 環境管理及工程學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
32111,Construction and Real Estate - MSc - Master of Science 建築及房地產學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
32112,Construction Law and Dispute Resolution - MSc - Master of Science 建築法及爭議解決學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
32113,Project Management - MSc - Master of Science 項目管理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
32114,Intelligent Construction - MSc - Master of Science 智能建造理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
05001,Engineering Doctorate - EngD - Engineering Doctorate 工程學博士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
47002,Biomedical Engineering - MSc - Master of Science 生物醫學工程理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
61030,Information Technology - MSc - Master of Science 資訊科技理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
61036,Blockchain Technology - MSc - Master of Science 區塊鏈科技理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
61037,Artificial Intelligence and Big Data Computing - MSc - Master of Science 人工智能及大數據計算理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
61038,Metaverse Technology - MSc - Master of Science 元宇宙科技理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
45080,Engineering Business Management - MSc/PgD - Master of Science/Postgraduate Diploma 工程商業管理理學碩士學位/深造文憑,
45080,Supply Chain and Logistics Management - MSc/PgD - Master of Science/Postgraduate Diploma 供應鏈與物流管理理學碩士學位/深造文憑,
45100,Industrial Logistics Systems  - MSc - Master of Science 工業物流系統理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
45100,Knowledge and Technology Management - MSc - Master of Science 知識及科技管理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
45100,Smart Manufacturing - MSc - Master of Science 智能製造理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
43100,Mechanical Engineering - MSc - Master of Science 機械工程學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
48004,Aviation Engineering - MSc - Master of Science 民用航空工程學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
46010,Electrical Engineering - MSc - Master of Science 電機工程學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
46011,Electronic and Information Engineering - MSc - Master of Science 電子及資訊工程學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
46012,Electric Vehicles - MSc - Master of Science 電動汽車理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
46013,Microelectronics and Quantum Systems Engineering - MSc - Master of Science 微電子及量子系统工程理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
03002,Applied Language Sciences - Doctor - Doctor 應用語言科學博士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
72017,Bilingual Corporate Communication - MA - Master of Arts 中英企業傳訊文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
72017,Chinese Linguistics  - MA - Master of Arts 中國語言學文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
72017,Chinese Language and Literature - MA/PgD - Master of Arts/Postgraduate Diploma 中國語文文學碩士學位/深造文憑,"local: 30 Apr 2024, non-local: 30 Apr 2024"
72017,Translating and Interpreting - MA - Master of Arts 翻譯與傳譯文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
72017,Teaching Chinese as a Foreign Language - MA - Master of Arts 對外漢語教學文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
72021,Speech Therapy - Master - Master (of) 言語治療碩士學位,"local: 29 Feb 2024, non-local: 29 Feb 2024"
72026,Generative AI and the Humanities - MSc - Master of Science 生成式人工智能與人文科學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
77002,Chinese Culture - MA - Master of Arts 中國文化文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
71026,English Studies for the Professions  - MA - Master of Arts 專業英文文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
06001,Health Science - Doctor - Doctor 醫療科學博士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
06003,Health Informatics  - MSc - Master of Science 健康信息科技理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
54047,Mental Health - MA - Master of Arts 精神健康文學碩士學位,
54047,Marriage and Family Therapy - MA - Master of Arts 婚姻及家庭治療文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
54047,Guidance and Counselling - MA - Master of Arts 諮商與輔導文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
54053,Social Work - Doctor - Doctor 社會工作博士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
54055,Social Policy and Social Development  - MA - Master of Arts 社會政策及社會發展文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
54057,Applied Psychology - Master - Master (of) 應用心理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
54057,Applied Psychology (Diverse Learning Needs) - Master - Master (of) 應用心理學碩士學位（特殊學習需要）,"local: 30 Apr 2024, non-local: 30 Apr 2024"
54072,School and Community Psychology - MA - Master of Arts 學校與社區心理文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
55005,Medical Laboratory Science - MSc - Master of Science 醫療化驗科學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
55005,Medical Imaging and Radiation Science - MSc - Master of Science 醫學影像及放射科學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
55005,Medical Physics - MSc - Master of Science 醫學物理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
55005,Medical Data Science - MSc - Master of Science 醫療數據科學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
55006,Medical Imaging - Master - Master (of) 醫療影像碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
55007,Medical Laboratory Science - Master - Master (of) 醫療化驗科學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
51062,Rehabilitation of People with Developmental Disabilities - MSc - Master of Science 發展障礙人士復康理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
51062,Manipulative Physiotherapy - MSc - Master of Science 手法物理治療理學碩士學位,
51062,Occupational Therapy - MSc - Master of Science 職業治療學理學碩士學位,
51062,Rehabilitation Sciences - MSc - Master of Science 康復科學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
51062,Sports Physiotherapy - MSc - Master of Science 運動物理治療理學碩士學位,
53070,Nursing - MSc - Master of Science 護理學理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
53081,Nursing - Master - Master (of) 護理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
11044,Microelectronics Technology and Materials - MSc - Master of Science 微電子技術及材料理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
12060,Sustainable Technology for Carbon Neutrality - MSc - Master of Science 碳中和可持續科技理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
12062,Biopharmaceutical Development and Commercialization - MSc - Master of Science 生物醫藥研發及產業化理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
63022,Applied Mathematics for Science and Technology (Actuarial and Investment Science) - MSc - Master of Science 科技應用數學理學碩士學位（精算及投資科學）,"local: 30 Apr 2024, non-local: 30 Apr 2024"
63024,Operational Research and Risk Analysis  - MSc - Master of Science 運籌及風險分析理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
63027,Data Science and Analytics - MSc - Master of Science 數據科學及分析理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
63029,Quantitative Finance and FinTech - MSc - Master of Science 量化金融及金融科技理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
15059,Food Science and Management - Doctor - Doctor 食品科學及管理博士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
73040,Innovative Multimedia Entertainment - MSc - Master of Science 多媒體創娛理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
73035,Design - Master - Master (of) 設計學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
73039,Design - Doctor - Doctor 設計學博士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
14097,Fashion and Textile Design - MA - Master of Arts 服裝及紡織品設計文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
14105,Global Fashion Management - MA - Master of Arts 環球時裝管理文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
14107,Sustainable Fashion and Innovation - MA - Master of Arts 可持續時裝及創新文學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
14110,Intelligent Wearable Technology - MSc/PgD - Master of Science/Postgraduate Diploma 智能可穿戴科技理學碩士學位 / 深造文憑,"local: 30 Apr 2024, non-local: 30 Apr 2024"
24043,Global Hospitality Business - MSc - Master of Science 環球酒店業管理理學碩士學位,"local: 30 Apr 2024, non-local: 30 Apr 2024"
24045,Hospitality and Tourism Management  - MSc Scheme - Master of Science Scheme 酒店及旅遊業管理碩士學位組合課程,"local: 30 Apr 2024, non-local: 30 Apr 2024"
